Identifier,Woreda,Kebele,School Name,Lat,Lot,Latitude,Longitude,School Type,Male Pupils,Female Pupils,Water Service Level,Main Source of Drinking Water Provided by the School,Main Water Source is Currently Available at the School,Sanitation Service Level,Type of Student Toilets at the School,Number of Student Toilets Currently Usable,Toilets are Separate for Girls and Boys,Hygiene Service Level,Handwashing Facilities are at the School,Soap and water available at the handwashing facilities
b8fp-6u44-85vt,Negelle Arsi,Alge lak 2,Alge lak 2,440793,838169,42.04491551,3.982278247,Primary(1-4),211,140,,,,,,,,,,
rjk4-57vm-x3bj,Negelle Arsi,L/Laman,L/Laman,450281,838575,42.04888681,4.067979055,Primary(1-4),243,232,,,,,,,,,,
u2ck-hpks-wmex,Negelle Arsi,G/Dhoqona,G/Dhoqona,466701,816359,41.84953445,4.217076877,Primary(1-8),270,247,,,,,,,,,,
h9gs-t2yk-rryq,Negelle Arsi,Gonde,Gonde,472726,802451,41.72454995,4.271971824,Primary(1-8),395,338,,,,,,,,,,
xv76-myhr-7823,Negelle Arsi,Mararo,Mararo,475137,796703,41.67288467,4.293942176,Primary(1-8),300,317,,,,,,,,,,
fhp6-vx05-jpjr,Negelle Arsi,Xixa,Xixa,469193,805886,41.75535565,4.239935973,Primary(1-8),318,331,,,,,,,,,,
sv22-2y1e-s0p9,Shashemene,K/Filicha,K/F/Gudina,461186,800267,41.70452973,4.16775829,Primary(1-8),592,538,,,,,,,,,,
m1ta-duxh-erfj,Negelle Arsi,Wincitu,Wincitu,470413,809730,41.78999366,4.250835548,Primary(1-8),238,245,,,,,,,,,,
x639-7uaf-nr7e,Negelle Arsi,Reji,Reji,474460,802900,41.72864707,4.287626691,Primary(1-8),517,520,,,,,,,,,,
10kf-aky0-w7vq,Negelle Arsi,Burkitu,Burkitu,477376,799502,41.6981523,4.31408653,Primary(1-8),176,177,,,,,,,,,,
nyqs-kv9h-9byq,Negelle Arsi,S/Lenda,S/Lenda,470685,815968,41.84614718,4.25308757,Primary(1-8),387,233,,,,,,,,,,
mgkn-vj94-m4r0,Negelle Arsi,Danshe,Danshe,467447,803432,41.73321221,4.224236906,Primary(1-8),577,503,,,,,,,,,,
y2nx-duqm-bc9c,Negelle Arsi,Golba,Golba,468663,815631,41.84304722,4.234828795,Primary(1-8),72,54,,,,,,,,,,
mqny-0y7a-v9rv,Negelle Arsi,k/ilala,k/ilala,461696,808303,41.77687023,4.172114085,Primary(1-8),315,287,,,,,,,,,,
s700-yv0g-5jgm,Negelle Arsi,Seyo Maja,Seyo Maja,466659,808981,41.78313091,4.216938537,Primary(1-8),331,293,,,,,,,,,,
e8dq-2r8g-wqpd,Negelle Arsi,Q/Warqa,Q/Warqa,462322,811589,41.80646335,4.177665227,Primary(1-8),90,87,,,,,,,,,,
7hu5-b65e-526j,Negelle Arsi,Bura Gara,Bura Gara,458197,813072,41.81967715,4.140344545,Primary(1-8),294,231,,,,,,,,,,
g54b-46wf-6sgt,Negelle Arsi,Gode,Gode,478974,792667,41.63667162,4.328744382,Primary(1-8),752,695,,,,,,,,,,
wqyg-k2mq-ht06,Negelle Arsi,Urgo,Urgo,465853,821376,41.89465702,4.209247789,Primary(1-8),171,169,,,,,,,,,,
h7p4-btk9-82rr,Negelle Arsi,Wacore,Wacore,479382,798398,41.68827791,4.332249604,Primary(1-8),454,409,,,,,,,,,,
2dk1-ftpy-x02d,Negelle Arsi,Jedala,Jedala,476969,813254,41.8219285,4.309958344,Primary(1-8),250,216,,,,,,,,,,
kb6m-mncm-shwq,Negelle Arsi,Boye,Boye,478596,814671,41.83473752,4.324611817,Primary(1-8),358,321,,,,,,,,,,
c4b8-jy4y-cfbk,Negelle Arsi,Sad.2ffa Basaqu,Sad.2ffa Basaqu,478244,812020,41.81086354,4.321520267,High School 9-10,295,190,,,,,,,,,,
qwaq-28t8-2ycd,Negelle Arsi,Gambelto,Gambelto,473141,808491,41.77893044,4.275526396,Primary(1-8),480,409,,,,,,,,,,
b3ve-k7g0-3ady,Negelle Arsi,Sad.2ffa Qalo Duro,Sad.2ffa Qalo Duro,470505,804766,41.74531668,4.251827629,High School 9-10,344,185,,,,,,,,,,
8fjr-wnh1-0qja,Negelle Arsi,Gode sad 2faa,Gode sad 2faa,478979,792660,41.63660876,4.328789788,High School 9-10,177,78,,,,,,,,,,
b7jv-5sat-xfd4,Negelle Arsi,Watara sad 2ffaa,,468946,800271,41.70480755,4.237882806,High School 9-10,90,98,,,,,,,,,,
3re8-p58c-7kf2,Shashemene,Ch/D/Nyata,Ch/D/Nyata,447132,799773,41.69965668,4.040771272,Primary(1-8),373,331,,,,,,,,,,
gqdt-qqjs-ycmm,Negelle Arsi,Sotira,Sotira,478250,796045,41.6670594,4.322094922,Primary(1-8),353,377,,,,,,,,,,
