Woreda,Kebele,School Name,Latitude,Longitude,School Type,Male Pupils,Female Pupils,Reason for Inventory,Water Supply Source,Water,Year Commisioned,Functionality_Status_of_Water_Supply,Yield,Type of Latrine,Sanitation,latrine_For_Boys_and_Girls_Separate,Number of Boy Pupils,Number of Girl Pupils,Are there Latrines for Disabled?,Latrine_Condition,Presence_of_HandWashingFacility,,hand_washing_in_use,availability_of_soap,Urinal_present_girls,Urinal_present_boys,Separate_latrine_for_tolitet_Staff
Shashemene,Sh/Korke,Feti,7.269963621,38.65602827,Primary(1-8),254,235,New Scheme,Pipeline Connection,Basic,2001,Functional,,Simple Pit Latrine,Limited,Yes,254,235,No,"Clean, Used",No Service,Yes,No,No,No,No,No
Shashemene,Jelo,J/Dida,7.302099889,38.62927804,Primary(1-4),124,143,,No Water Scheme,No Service,,,,No Latrine,No Service,No,124,143,No,No Latrine,No Service,Yes,No,No,No,No,No
Shashemene,B/Filicha,M/Oda,7.220171661,38.62740674,Primary(1-8),600,628,Repair,Pipeline Connection,Basic,2001,Non Functional - Mechanical,,Simple Pit Latrine,Limited,Yes,600,628,Yes,Dirty But Used,No Service,No,No,No,Yes,No,Yes
Shashemene,H/kundi,H/kundi,7.27013982,38.62717546,Primary(1-8),194,204,,No Water Scheme,No Service,,,,No Latrine,No Service,No,194,204,No,No Latrine,No Service,Yes,No,No,No,No,No
Shashemene,H/kundi,Bif/kundi,7.265392725,38.60794753,Primary(1-4),112,88,,No Water Scheme,No Service,,,,No Latrine,No Service,No,112,88,No,No Latrine,No Service,Yes,No,No,No,No,No
Shashemene,B/Filicha,B/kundi,7.245780004,38.6165247,Primary(1-8),364,207,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,364,207,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,F/keraru,F/keraru,7.264082978,38.58960468,Primary(1-8),318,225,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,318,225,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,Goba,Goba,7.193509433,38.60052814,Primary(1-8),265,233,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,265,233,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,F/keraru,Cheleleka,7.276442687,38.57366776,Primary(1-4),63,59,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,No,63,59,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,K/Guta,M/Kubi,7.326847713,38.55795531,Primary(1-4),176,130,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,No,176,130,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,K/Guta,K/Guta,7.316660577,38.58456487,Primary(1-8),298,191,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,No,298,191,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,F/Gole,S/Gole,7.276442627,38.57360435,Primary(1-8),369,315,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,369,315,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,A/Ilu,Alelu,7.154682435,38.64090917,Primary(1-8),377,330,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,377,330,Yes,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,C/D/Nyata,C/D/Nyata-2ry,7.237007531,38.52273462,High School 9-10,213,81,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,213,81,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,H/Simboo,Huursa -2ry,7.137074888,38.71185196,High School 9-10,281,135,New Scheme,Pipeline Connection,Basic,2007,Functional,,Simple Pit Latrine,Limited,Yes,281,135,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Ashale,Ashale,7.357969027,38.72104416,Primary(1-8),314,236,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,314,236,No,Dirty But Used,No Service,Yes,No,No,No,No,No
