Identifier,District,Municipality/Union,Ward Number,School Name,Latitude,Longitude,School Type,Total number of Boys enrolled in the school,Total number of Girls enrolled in the school,What is the total enrolment in the school?,What is the regular number of staff in the school?,Drinking Water,Is there an improved water source that serves the school?,What is the type of improved water source?,What year was the water facility constructed?,Who funded the construction of the water point?,Sanitation,Does the school have any sanitation facilities?,What type of sanitation facilities are present?,"In total, how many functioning stances are for females?","IN total, how many functioning stances are for Males?",Is there a sanitation facility accessible to students with disabilities?,In what year was the latest (MOST RECENT) sanitation facility constructed?,"Condition of the superstructure, roof, walls, and doors",Condition are the floor/slabs/platform,Latrines/cesspits last emptied?,Who paid for the emptying service?,Hygiene,Is there a place for handwashing?,Is there water available at the handwashing station?,Is there soap at hand washing station?,Are there any abandoned or not in use sanitation facilities on the plot that pose a risk or threat to the safety of children?,Do community members not attending the school ever come to use the sanitation facilities?
3bjj-6ds1-rbxw,Barguna,Barguna Municipality,9,Charcoliny Hamidia GPS,22.16015481,90.12797012,Primary,159,152,311,14,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,toilet that flush/poor flush to septic tank,3,3,Yes,,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,No Service,Yes,No,No,,
6upj-7r43-67mx,Barguna,Barguna Municipality,8,Barguna Govt. Girls High School,22.15734872,90.12084651,Secondary,0,956,956,16,Basic,Yes,Deep tubewell/borehole,,,Basic,Yes,toilet that flush/poor flush to septic tank,,,No,,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Limited,Yes,Yes,No,,
hcmj-k966-tgju,Barguna,Badarkhali Union,6,Fuljhuri-Patakata Nuria Dakhil Madrasha,22.20675946,90.0754833,Madrassa,136,188,324,14,Basic,Yes,Deep tubewell/borehole,,,Basic,Yes,Twinpit offset latrine,1,1,No,,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,,
w686-mces-bbcx,Barguna,Badarkhali Union,3,Utter kumakhali girls high school,22.18482761,90.09874762,Secondary,0,250,250,7,Basic,Yes,Deep tubewell/borehole,,,Basic,Yes,Twinpit offset latrine,,,No,,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,,
nkb7-n3py-ddj5,Satkhira,Agardari,2,Abaderhat girls high school,22.76247725,89.02027679,Secondary,0,278,278,12,Basic,Yes,Deep tubewell/borehole,,,Basic,Yes,toilet that flush/poor flush to septic tank,,,Yes,,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,,
j8tc-v979-c9m9,Barguna,Barguna Sadar,4,Amtoly A K Adarsha high school,22.10288516,90.08640784,Secondary,121,165,286,15,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,toilet that flush/poor flush to septic tank,2,2,No,,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,,
f42u-j34d-umse,Barguna,Gourichanna Union,2,Dakhin khajurtala Bahrul Ulum Balika Dakhil Madrasha,22.1615463,90.11327957,Madrassa,0,183,183,13,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,Twinpit offset latrine,,,No,,,,,,Basic,Yes,Yes,Yes,,
0a0r-6tb8-m3pv,Barguna,Dhalua Union,9,Nali muslim high school,22.0729009,90.03898709,Secondary,150,189,339,10,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,toilet that flush/poor flush to septic tank,4,4,No,,,,,,Basic,Yes,Yes,Yes,,
0xhv-bbxp-f08r,Barguna,Dhalua Union,9,Nali govt.primary school,22.07164005,90.03908836,Primary,84,81,165,6,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,toilet that flush/poor flush to septic tank,2,2,No,,,,,,No Service,Yes,No,No,,
1q2a-a4uy-93r8,Barguna,Dhalua Union,8,chargachia progoti high school,22.08999895,90.03884675,Secondary,80,130,210,8,Basic,Yes,Deep tubewell/borehole,,,No Service,No,Pit latrine without slab/open pit,,,No,,,,,,No Service,No,No,No,,
0a9r-7w6s-ncax,Barguna,Dhalua Union,6,Uttar Khajura Eshakia Alim Madrasha.,22.148853,90.07920898,Madrassa,228,230,458,26,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,Twinpit offset latrine,,,No,,,,,,No Service,No,No,No,,
8vvr-kc8k-7f9s,Barguna,Dhalua Union,4,Kadamtola Government primary School,22.11684263,90.04128755,Primary,25,35,60,4,Basic,Yes,Deep tubewell/borehole,,,Basic,Yes,toilet that flush/poor flush to septic tank,1,1,Yes,,,,,,Limited,Yes,Yes,No,,
9pvk-6vp6-fx5c,Barguna,Noltona Union,5,Babugonj Adarsha high school,22.00307171,90.02561749,Secondary,219,314,533,15,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,toilet that flush/poor flush to septic tank,3,3,No,,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,,
137s-kp36-hs3p,Barguna,Gourichanna Union,2,Gurichanna nuwab solimulla sceondry school,22.21344396,90.11253125,Secondary,636,586,1222,28,Basic,Yes,Deep tubewell/borehole,,,Basic,Yes,Twinpit offset latrine,3,3,No,,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,,
d6ue-xyr4-bxkj,Satkhira,Agardari,2,Agardari aminia kamil madrasah,22.76287911,89.01068531,Madrassa,397,258,655,22,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,toilet that flush/poor flush to septic tank,2,2,No,,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Basic,Yes,Yes,Yes,,
p9pc-7wd2-qg4b,Satkhira,Agardari,2,37 Agardari Govt Primary School,22.76321045,89.01217408,Primary,99,110,209,10,Basic,Yes,Deep tubewell/borehole,,,Basic,Yes,toilet that flush/poor flush to septic tank,1,1,No,,Good and well-raised wall with roof and door,Medium - some minor cracks,,,Basic,Yes,Yes,Yes,,
qwcf-n8nx-q627,Barguna,Fuljhuri Union,8,Gudegata high school,22.20978613,90.16583695,Secondary,200,270,470,15,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,Twinpit offset latrine,,,No,,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,,
89ng-wcn8-h782,Barguna,Gourichanna Union,2,Khajurtala Govt primary school,22.18096073,90.11411147,Primary,52,54,106,5,Basic,Yes,Deep tubewell/borehole,,,Basic,Yes,Twinpit offset latrine,1,1,No,,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,,
c1kv-0me7-ga7m,Barguna,Gourichanna Union,6,Kalimudabat govt  primari school,22.20695666,90.12170588,Primary,46,57,103,5,Basic,Yes,Deep tubewell/borehole,,,Basic,Yes,Twinpit offset latrine,1,1,No,,"Poor - short wall, poor or no door",Bad - dangerous to stand on,,,Basic,Yes,Yes,Yes,,
874w-xgc0-x6qn,Barguna,Patharghata Municipality,5,suborna parimare school,22.04973493,89.95838772,Primary,65,55,120,5,Basic,Yes,PSF (pond sand filter),,,Limited,Yes,toilet that flush/poor flush to septic tank,,,No,,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,No Service,No,No,No,,
